Location,year,CountDate,LPSLamprey,dayCount,dayCorrectionFactor,dayCountCorrected,dayComments,nightCount,nightCorrectionFactor,nightCountCorrected,nightComments
"Cascades Island AWS Traps",2019,04/16/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/17/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/18/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/19/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/20/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/21/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/22/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/23/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/24/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/25/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/26/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/27/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/28/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/29/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,04/30/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/01/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/02/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/03/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/04/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/05/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/06/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/07/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/08/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/09/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/10/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/11/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/12/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/13/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/14/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/15/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/16/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/17/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/18/2019,1,1,1.0,1,,,,,
"Cascades Island AWS Traps",2019,05/19/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/20/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/21/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/22/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/23/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/24/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/25/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/26/2019,0,0,1.0,0,,,,,
"Cascades Island AWS Traps",2019,05/27/2019,0,0,0.96999999999999997,0,,,,,
"Cascades Island AWS Traps",2019,05/28/2019,0,0,0.96999999999999997,0,,,,,
"Cascades Island AWS Traps",2019,05/29/2019,5,5,0.96999999999999997,5,,,,,
"Cascades Island AWS Traps",2019,05/30/2019,1,1,0.96999999999999997,1,,,,,
"Cascades Island AWS Traps",2019,05/31/2019,5,5,0.96999999999999997,5,,,,,
"Cascades Island AWS Traps",2019,06/01/2019,92,94,0.96999999999999997,92,,,,,
"Cascades Island AWS Traps",2019,06/02/2019,104,107,0.96999999999999997,104,,,,,
"Cascades Island AWS Traps",2019,06/03/2019,105,108,0.96999999999999997,105,,,,,
"Cascades Island AWS Traps",2019,06/04/2019,49,50,0.96999999999999997,49,,,,,
"Cascades Island AWS Traps",2019,06/05/2019,20,20,0.96999999999999997,20,,,,,
"Cascades Island AWS Traps",2019,06/06/2019,54,55,0.96999999999999997,54,,,,,
"Cascades Island AWS Traps",2019,06/07/2019,15,15,0.96999999999999997,15,,,,,
"Cascades Island AWS Traps",2019,06/08/2019,4,4,0.96999999999999997,4,,,,,
"Cascades Island AWS Traps",2019,06/09/2019,3,3,0.96999999999999997,3,,,,,
"Cascades Island AWS Traps",2019,06/10/2019,7,7,0.96999999999999997,7,,,,,
"Cascades Island AWS Traps",2019,06/11/2019,9,10,0.88,9,,,,,
"Cascades Island AWS Traps",2019,06/12/2019,12,13,0.88,12,,,,,
"Cascades Island AWS Traps",2019,06/13/2019,6,6,0.88,6,,,,,
"Cascades Island AWS Traps",2019,06/14/2019,3,3,0.88,3,,,,,
"Cascades Island AWS Traps",2019,06/15/2019,8,9,0.88,8,,,,,
"Cascades Island AWS Traps",2019,06/16/2019,3,3,0.88,3,,,,,
"Cascades Island AWS Traps",2019,06/17/2019,11,12,0.88,11,,,,,
"Cascades Island AWS Traps",2019,06/18/2019,38,43,0.88,38,,,,,
"Cascades Island AWS Traps",2019,06/19/2019,49,55,0.88,49,,,,,
"Cascades Island AWS Traps",2019,06/20/2019,23,26,0.88,23,,,,,
"Cascades Island AWS Traps",2019,06/21/2019,2,2,0.88,2,,,,,
"Cascades Island AWS Traps",2019,06/22/2019,3,3,0.88,3,,,,,
"Cascades Island AWS Traps",2019,06/23/2019,9,10,0.88,9,,,,,
"Cascades Island AWS Traps",2019,06/24/2019,7,7,0.88,7,,,,,
