Location,year,CountDate,LPSLamprey,dayCount,dayCorrectionFactor,dayCountCorrected,dayComments,nightCount,nightCorrectionFactor,nightCountCorrected,nightComments
"WA AWS LPS Mech",2019,04/11/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/12/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/13/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/14/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/15/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/16/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/17/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/18/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/19/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/20/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/21/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/22/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/23/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/24/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/25/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/26/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/27/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/28/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/29/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,04/30/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/01/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/02/2019,1,1,1.0,1,,,,,
"WA AWS LPS Mech",2019,05/03/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/04/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/05/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/06/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/07/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/08/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/09/2019,1,1,1.0,1,,,,,
"WA AWS LPS Mech",2019,05/10/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/11/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/12/2019,1,1,1.0,1,,,,,
"WA AWS LPS Mech",2019,05/13/2019,0,0,1.0,0,,,,,
"WA AWS LPS Mech",2019,05/14/2019,3,3,0.97999999999999998,3,,,,,
"WA AWS LPS Mech",2019,05/15/2019,0,0,0.97999999999999998,0,,,,,
"WA AWS LPS Mech",2019,05/16/2019,0,0,0.97999999999999998,0,,,,,
"WA AWS LPS Mech",2019,05/17/2019,2,2,0.97999999999999998,2,,,,,
"WA AWS LPS Mech",2019,05/18/2019,0,0,0.97999999999999998,0,,,,,
"WA AWS LPS Mech",2019,05/19/2019,4,4,0.97999999999999998,4,,,,,
"WA AWS LPS Mech",2019,05/20/2019,4,4,0.97999999999999998,4,,,,,
"WA AWS LPS Mech",2019,05/21/2019,0,0,0.97999999999999998,0,,,,,
"WA AWS LPS Mech",2019,05/22/2019,0,0,0.97999999999999998,0,,,,,
"WA AWS LPS Mech",2019,05/23/2019,2,2,0.97999999999999998,2,,,,,
"WA AWS LPS Mech",2019,05/24/2019,7,7,0.97999999999999998,7,,,,,
"WA AWS LPS Mech",2019,05/25/2019,7,7,0.97999999999999998,7,,,,,
