Location,year,CountDate,LPSLamprey,dayCount,dayCorrectionFactor,dayCountCorrected,dayComments,nightCount,nightCorrectionFactor,nightCountCorrected,nightComments
"Bonneville Washington Shore",2019,02/22/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,02/23/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,02/24/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,02/25/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,02/26/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,02/27/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,02/28/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/01/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/02/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/03/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/04/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/05/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/06/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/07/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/08/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/09/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/10/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/11/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/12/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/13/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/14/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/15/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/16/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/17/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/18/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/19/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/20/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/21/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/22/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/23/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/24/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/25/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/26/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/27/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/28/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/29/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/30/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,03/31/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/01/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/02/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/03/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/04/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/05/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/06/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/07/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/08/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/09/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/10/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/11/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/12/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/13/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/14/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/15/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/16/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/17/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/18/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/19/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/20/2019,0,0,,,,0,,,
"Bonneville Washington Shore",2019,04/21/2019,0,0,,,,0,,,
