Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Bonneville,1984-03-15,Sp,7,2,48,,,,,,,,,,
Bonneville,1984-03-16,Sp,7,,62,,,,,,,,,,
Bonneville,1984-03-17,Sp,4,,22,,,,,,,,,,
Bonneville,1984-03-18,Sp,15,1,42,,,,,,,,,,
Bonneville,1984-03-19,Sp,24,,51,,,,,,,,,,
Bonneville,1984-03-20,Sp,24,,42,,,,,,,,,,
Bonneville,1984-03-21,Sp,13,,29,,,,,,,,,,
Bonneville,1984-03-22,Sp,12,,16,,,,,,,,,,
Bonneville,1984-03-23,Sp,39,,30,,,,,,,,,,
Bonneville,1984-03-24,Sp,24,,43,,,,,,,,,,
Bonneville,1984-03-25,Sp,16,,29,,,,,,,,,,
Bonneville,1984-03-26,Sp,24,,32,,,,,,,,,,
Bonneville,1984-03-27,Sp,16,1,33,,,,,,,,,,
Bonneville,1984-03-28,Sp,28,,35,,,,,,,,,,
Bonneville,1984-03-29,Sp,27,,25,,,,,,,,,,
Bonneville,1984-03-30,Sp,29,,13,,,,,,,,,,
Bonneville,1984-03-31,Sp,35,,30,,,,,,,,,,
Bonneville,1984-04-01,Sp,59,2,44,,,,,,,,,,
Bonneville,1984-04-02,Sp,157,1,52,,,,,,,,,,
Bonneville,1984-04-03,Sp,226,,56,,,,,,,,,,
Bonneville,1984-04-04,Sp,408,,122,,,,,,,,,,
Bonneville,1984-04-05,Sp,353,,53,,,,,,,,,,
Bonneville,1984-04-06,Sp,621,2,86,,,,,,,,,,
Bonneville,1984-04-07,Sp,577,1,92,,,,,,,,,,
Bonneville,1984-04-08,Sp,778,4,74,,,,,,,,,,
Bonneville,1984-04-09,Sp,683,2,55,,,,,,,,,,
Bonneville,1984-04-10,Sp,805,3,65,,,,,,,,,,
Bonneville,1984-04-11,Sp,783,8,51,,,,,,,,,,
Bonneville,1984-04-12,Sp,770,2,78,,,,,,,,,,
Bonneville,1984-04-13,Sp,782,7,76,,,,,,,,,,
Bonneville,1984-04-14,Sp,744,24,61,,,,,,,,,,
Bonneville,1984-04-15,Sp,1078,16,91,,,,,,,,,,
Bonneville,1984-04-16,Sp,1449,22,81,,,,,,,,,,
Bonneville,1984-04-17,Sp,1249,23,79,,,,,,,,,,
Bonneville,1984-04-18,Sp,1186,25,74,,,,,,,,,,
Bonneville,1984-04-19,Sp,1232,19,46,,,,,,,,,,
Bonneville,1984-04-20,Sp,1255,12,86,,,,,,,,,,
Bonneville,1984-04-21,Sp,846,20,52,,,,,,,,,,
Bonneville,1984-04-22,Sp,802,16,48,,,,,,,,,,
Bonneville,1984-04-23,Sp,1117,42,57,,,,,,,,,,
Bonneville,1984-04-24,Sp,802,25,54,,,,,,,,,,
Bonneville,1984-04-25,Sp,760,53,55,,,,,,,,,,
Bonneville,1984-04-26,Sp,1095,59,78,,,,,,,,,,
Bonneville,1984-04-27,Sp,1245,83,78,,,,,,,,,,
Bonneville,1984-04-28,Sp,1413,90,82,,,,,,,,,,
Bonneville,1984-04-29,Sp,1652,82,96,,,,,,,,,,
Bonneville,1984-04-30,Sp,1522,93,84,,,,,,,,,,
Bonneville,1984-05-01,Sp,1312,98,79,,,,,1,,,,,
Bonneville,1984-05-02,Sp,1667,118,154,,,,,,,,,,
Bonneville,1984-05-03,Sp,1101,123,99,,,,,,,,,,
Bonneville,1984-05-04,Sp,1068,144,119,,,,,,,,,,
Bonneville,1984-05-05,Sp,1599,162,124,,,,,,,,,,
Bonneville,1984-05-06,Sp,1515,195,125,,,,,,,,,,
Bonneville,1984-05-07,Sp,1068,163,117,,,,,,,,,,
Bonneville,1984-05-08,Sp,921,123,76,,,,,,,,,,
