Date,Removal_location,Pinniped_species,Salmonid_unidentified_adult,Salmonid_unidentified_juvenile,Chinook_adult,Chum_adult,Sturgeon,Lamprey,Steelhead,Other
9/14/2021,BON,SSL,3,,,,,,,
9/15/2021,BON,SSL,,,,2,2,6,,2
9/15/2021,BON,SSL,1,,,,,1,,2
9/16/2021,BON,SSL,,,,2,1,,,
9/21/2021,BON,SSL,,,,,5,,,1
9/22/2021,BON,SSL,,,1,,,1,,2
9/23/2021,BON,SSL,7,,,,,,,
9/28/2021,BON,SSL,,,,,2,,,2
9/29/2021,BON,SSL,1,,,,1,,,2
9/30/2021,BON,SSL,,,,,1,,,1
10/6/2021,BON,SSL,,,,,1,,,1
10/6/2021,BON,SSL,,,,,1,,,1
10/7/2021,BON,SSL,,,,5,,,,
10/14/2021,BON,SSL,,,,,1,2,,6
11/2/2021,BON,SSL,,,,2,,,,4
11/3/2021,BON,SSL,,,,12,,,,
11/3/2021,BON,SSL,1,,,2,,,,
11/9/2021,BON,SSL,4,,,,,,,
11/9/2021,BON,SSL,,,,,,,,
11/10/2021,BON,SSL,,,,2,1,,,
11/16/2021,BON,SSL,,,,7,,,,1
11/16/2021,BON,SSL,1,,,,1,,,1
11/17/2021,BON,SSL,1,,,,1,20,,1
11/17/2021,BON,SSL,,,,6,1,,,1
4/19/2022,BON,SSL,,,,,,,,
4/20/2022,BON,CSL,1,,,,,,,
4/20/2022,BON,SSL,,,3,,,,,
4/20/2022,BON,SSL,,,3,,,,,1
4/21/2022,BON,SSL,4,,1,,1,,,
4/26/2022,BON,CSL,,,7,,,,,
4/26/2022,BON,CSL,1,,,,,,,
4/26/2022,BON,CSL,,,6,,,,,
4/27/2022,BON,SSL,,,2,,,,,
4/28/2022,BON,SSL,3,,2,,,,,
4/28/2022,BON,CSL,,,3,,,,,
5/3/2022,BON,SSL,1,,,,,,,
5/3/2022,BON,CSL,,,7,,,,,
5/3/2022,BON,CSL,,,11,,,,,
5/3/2022,BON,CSL,,,5,,,,,
5/3/2022,BON,CSL,,,3,,,,,
5/4/2022,BON,CSL,,,3,,,,,
5/5/2022,BON,CSL,,,5,,,,,1
5/10/2022,BON,SSL,,,2,,,1,,1
5/10/2022,BON,SSL,,,5,,,,,
5/10/2022,BON,CSL,,,7,,,,,
5/11/2022,BON,CSL,1,,,,,,,
5/11/2022,BON,CSL,,2,2,,,,,
4/30/2019,BON,CSL,,,5,,,,,
5/1/2019,BON,CSL,,148,1,,,,,
5/1/2019,BON,CSL,,,4,,,,,
5/1/2019,BON,CSL,,,1,,,1,,
5/1/2019,BON,CSL,,,4,,,1,,
5/1/2019,BON,CSL,,,1,,,,,
